Year,category,college,branch,Cutoff_Rank,Fees,Placement_Percentage,Average_Package,NIRF_Rank,Total_Seats,Available_Seats,Seat_Ratio,Recommendation_Score
2025,OC,PSG College,IT,575,97188,81,12.8,104,148,31,0.20945945945945946,40.0891891891892
2025,OC,PSG College,IT,617,81245,89,10.4,20,70,42,0.6,73.1
2025,OC,Anna University,EEE,657,168983,77,5.1,120,228,14,0.06140350877192982,23.428070175438595
2025,OC,PSG College,ECE,658,179035,75,11.8,73,91,15,0.16483516483516483,45.696703296703305
2025,SC,Coimbatore Institute,ECE,669,82045,84,5.1,42,103,24,0.23300970873786409,52.360194174757275
2025,OC,Anna University,EEE,735,120849,80,7.5,60,88,50,0.5681818181818182,54.86363636363637
2025,SC,PSG College,CSE,736,173354,93,10.9,105,158,7,0.04430379746835443,38.18607594936709
2025,SC,Kumaraguru College,ECE,751,105017,95,6.7,91,215,49,0.22790697674418606,42.45813953488372
2025,SC,Coimbatore Institute,CSE,771,167407,96,10.7,71,220,41,0.18636363636363637,51.92727272727273
2025,BC,Anna University,IT,814,137213,86,5.2,113,214,33,0.1542056074766355,30.184112149532712
2025,SC,PSG College,ECE,858,106959,86,9.4,55,166,38,0.2289156626506024,53.278313253012044
2025,OC,Anna University,IT,954,124424,75,12.1,80,83,12,0.14457831325301204,43.49156626506024
2025,OC,PSG College,EEE,969,115148,86,7.7,108,70,22,0.3142857142857143,37.385714285714286
2025,OC,PSG College,ECE,979,84553,81,10.0,83,231,49,0.21212121212121213,43.64242424242424
2025,BC,Anna University,IT,995,141697,84,4.5,66,73,16,0.2191780821917808,44.28356164383561
2025,BC,PSG College,EEE,1018,111328,94,11.1,123,78,28,0.358974358974359,39.57948717948719
2025,SC,PSG College,IT,1038,123524,95,11.8,141,174,47,0.27011494252873564,33.40229885057472
2025,OC,Anna University,ECE,1099,117145,85,4.7,81,163,30,0.18404907975460122,39.58098159509203
2025,BC,PSG College,CSE,1121,175060,92,14.5,41,187,39,0.20855614973262032,63.971122994652404
2025,OC,Anna University,EEE,1126,101966,87,14.8,146,141,43,0.3049645390070922,33.199290780141844
2025,BC,PSG College,ECE,1252,137683,80,11.1,119,174,48,0.27586206896551724,34.91724137931035
2025,BC,Kumaraguru College,CSE,1312,118998,85,14.7,135,80,14,0.175,33.2
2025,OC,PSG College,CSE,1328,117805,83,7.9,133,147,6,0.04081632653061224,23.716326530612243
2025,OC,Anna University,CSE,1388,147892,75,14.7,126,188,43,0.22872340425531915,33.97446808510638
2025,BC,PSG College,IT,1455,161557,83,10.8,98,223,35,0.15695067264573992,39.43901345291479
2025,BC,PSG College,CSE,1467,91458,79,7.8,115,63,16,0.25396825396825395,32.079365079365076
2025,SC,PSG College,ECE,1555,83021,87,5.0,56,168,24,0.14285714285714285,47.15714285714285
2025,OC,PSG College,ECE,1716,167972,84,13.4,113,72,20,0.2777777777777778,40.25555555555556
2025,SC,Kumaraguru College,ECE,1731,149339,81,14.7,101,163,31,0.1901840490797546,42.503680981595096
2025,OC,Anna University,IT,1794,100192,91,11.6,76,168,38,0.2261904761904762,50.62380952380953
2025,SC,Kumaraguru College,IT,1797,161041,83,9.8,56,85,28,0.32941176470588235,54.488235294117636
2025,SC,Kumaraguru College,IT,1847,92621,95,4.6,120,214,18,0.08411214953271028,28.782242990654208
2025,SC,PSG College,IT,1865,86397,88,8.4,120,172,22,0.12790697674418605,31.35813953488372
2025,SC,PSG College,ECE,1874,117955,97,4.4,113,152,28,0.18421052631578946,33.28421052631579
2025,SC,PSG College,ECE,1895,102157,97,6.1,107,148,43,0.2905405405405405,38.9108108108108
2025,BC,Coimbatore Institute,IT,1940,165430,87,7.1,30,174,32,0.1839080459770115,57.87816091954023
2025,BC,Kumaraguru College,ECE,1951,153805,81,12.6,83,74,50,0.6756756756756757,55.513513513513516
2025,SC,Coimbatore Institute,CSE,1956,143591,77,6.1,135,204,33,0.16176470588235295,21.935294117647057
2025,SC,Coimbatore Institute,EEE,1959,177153,81,8.8,49,70,40,0.5714285714285714,59.828571428571436
2025,SC,Coimbatore Institute,EEE,1980,150504,86,13.9,89,221,32,0.14479638009049775,45.89592760180996
2025,BC,Kumaraguru College,ECE,2001,116968,92,13.8,81,236,19,0.08050847457627118,48.71016949152542
2025,OC,Coimbatore Institute,IT,2074,94385,96,6.8,70,134,41,0.30597014925373134,50.71940298507462
2025,BC,Coimbatore Institute,IT,2081,167952,90,8.3,85,67,30,0.44776119402985076,48.755223880597015
2025,SC,Sri Krishna College,IT,2090,120210,82,9.5,63,188,32,0.1702127659574468,48.60425531914893
2025,SC,Sri Krishna College,CSE,2148,153953,76,14.2,85,137,23,0.1678832116788321,44.85766423357664
2025,BC,Kumaraguru College,ECE,2158,125643,89,9.7,87,222,24,0.10810810810810811,42.46216216216216
2025,SC,Kumaraguru College,IT,2190,83064,95,5.5,123,176,9,0.05113636363636364,28.122727272727275
2025,SC,Kumaraguru College,CSE,2225,117948,92,8.0,137,76,39,0.5131578947368421,34.76315789473684
2025,BC,PSG College,ECE,2237,160764,89,13.3,85,88,18,0.20454545454545456,48.59090909090909
2025,SC,Kumaraguru College,ECE,2302,148730,91,11.9,149,231,43,0.18614718614718614,28.222943722943725
2025,BC,PSG College,ECE,2360,97305,88,10.2,74,229,49,0.21397379912663755,48.67947598253275
2025,BC,PSG College,CSE,2388,123843,84,7.2,82,194,36,0.18556701030927836,41.511340206185565
